site_id,common_name,1895,1903,1908,1921,1947,1956,1957,1959,1960,1964,1965,1966,1969,1970,1971,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ACUN,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1920.0,,,,,,,,,,1880.0,,,,,,3079.0,,,
ACUN,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,
ADAR,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,256806.0,,,282307.0,,272338.0,,169200.0,,297443.0,,,,,,338777.0,,,,,,,,,,,,338231.0,,,428516.0
AILS,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AITC,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4608.0,,,,,,,,,,,5620.0,,,4047.0,,
AITC,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.0,,,,1486.0,,1998.0,1639.0,1383.0,2210.0,1900.0,1319.0,2213.0,,
AITK,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAR,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,
ALAS,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,,,,,
ALCO,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,,,,,,,,605.0,,,,,,,,,,,,,1100.0,,,
ALMI,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,8.0,,,,,,,,111.0,128.0,123.0,192.0,165.0,,189.0,188.0,197.0
AMBU,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17621.0,,,
AMPH,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7660.0,,,
AMPH,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCH,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.0,,,
ANDE,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDI,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0,,272.0,,,281.0,
ANDR,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,1271.0,,1139.0,,,,
ANDS,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,
ANNE,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.0,,383.0,,,346.0,,369.0,,,160.0,,171.0,,,,273.0,,,,139.0,,,,,,,522.0
ANVS,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDL,adelie penguin,,,,,,,,,,,,,,,,,,,,,,960.0,1314.0,,1074.0,1331.0,929.0,1160.0,,,,,,,,1095.0,1226.0,923.0,1173.0,1192.0,974.0,880.0,780.0,771.0,559.0,409.0,334.0,,,,,,,,
ARDL,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,244.0,141.0,,91.0,110.0,39.0,,,,,,,,,45.0,49.0,72.0,33.0,43.0,34.0,26.0,22.0,35.0,29.0,13.0,9.0,,,,,,,,
ARDL,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,3809.0,2580.0,,1656.0,3105.0,3522.0,3410.0,,,,,,,,3772.0,2985.0,2974.0,3146.0,3349.0,3911.0,4472.0,4444.0,5131.0,4957.0,4798.0,4635.0,,,,,,,,
ARMS,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
ARTH,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14461.0,,
ASPL,chinstrap penguin,,,,,,,,,,,,,,,,,,8650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTR,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUST,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082.0,,,,,,,
AVIA,adelie penguin,,,,,,,,,,,,,,,,,,,,35600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77515.0,
BACH,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACK,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,,,
BAIL,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,80000.0,,,50408.0,,
BALA,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,
BARC,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,
BARN,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BARN,gentoo penguin,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,6298.0,,,,2500.0,2750.0,1000.0,,,1161.0,,,2000.0,,2924.0,,,,,,3117.0,3008.0,,,,,2961.0,2747.0,2632.0,2572.0,2612.0,3161.0,3332.0,3157.0
BART,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,600.0,425.0,,,682.0,,,500.0,,1001.0,,,,,,1333.0,1441.0,,,,,1719.0,1684.0,1573.0,2289.0,2351.0,2212.0,2496.0,2378.0
BATT,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30746.0,,,
BEAG,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96892.0,,,
BEAN,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,491.0,,,544.0,,957.0,,,989.0
BEAU,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,40625.0,36741.0,39985.0,53079.0,46001.0,43336.0,42561.0,27953.0,37668.0,36155.0,,,,21147.0,,21285.0,,,,,,47725.0,52335.0,48039.0,,45561.0,,63760.0,,,70468.0
BEAV,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECH,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791.0,1829.0,1485.0,1711.0,1736.0,1813.0,1873.0,1933.0,1880.0,1836.0,1939.0,2207.0,,,,,,,,,,,,
BELI,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,3274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELS,chinstrap penguin,,,,,,,,,,,,,,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENE,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,1098.0,,,,1088.0,,706.0
BENN,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,7250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERK,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6488.0,,,,,,,,,,,,,,,,,,,,,13423.0,,,
BERN,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERT,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,904.0,,,,,,,,,,,,,,,,,,,,,,,,402.0,,,,346.0,,313.0,
BIEN,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15023.0,,,,,,,,,,,,,35466.0,,,
BISC,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,2754.0,,3000.0,,,,,,,,,,1801.0,,,1665.0,1335.0,692.0,1025.0,,,,,,,594.0,539.0,567.0,522.0,
BISC,gentoo penguin,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,14.0,33.0,45.0,56.0,26.0,149.0,296.0,288.0,639.0,644.0,753.0,902.0,977.0,,,2401.0,2404.0,3081.0,3197.0,
BLAK,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,
BOLI,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONG,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,1424.0,2859.0,,2261.0,,2284.0,
BOWL,adelie penguin,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,,,,,,,
BOWL,chinstrap penguin,,,,,,,,,,,,,,,,,,33000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYE,chinstrap penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,
BRAS,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166078.0,,,,,,,,,,,,,,
BRAT,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,5259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRDM,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,,2237.0,2033.0,2679.0,2878.0,3134.0,2648.0,2392.0,1609.0,2008.0,2501.0,1438.0,1875.0,2490.0,2299.0,3212.0,2632.0,3333.0,3316.0,1834.0,2357.0,1886.0,2674.0,3965.0,3261.0,3443.0,,4333.0,4518.0,2534.0,4912.0,4343.0
BRDN,adelie penguin,,,,,,,,,,,,,,,,,,,,,,,,23307.0,31878.0,27308.0,36233.0,37721.0,41391.0,33247.0,27505.0,22908.0,24906.0,28905.0,14928.0,21914.0,24565.0,23305.0,32697.0,25440.0,32353.0,,17334.0,30685.0,15246.0,26426.0,39979.0,35077.0,34636.0,31155.0,46073.0,48222.0,42860.0,50701.0,45572.0
