,site_name,site_id,ccamlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,e_n
0,Acuna Island,ACUN,48.2,-44.637,-60.7612,chinstrap penguin,28.0,12.0,1983,1983,4000.0,4.0,nests,ground,0.5
1,Acuna Island,ACUN,48.2,-44.637,-60.7612,adelie penguin,,,1993,1993,2008.0,1.0,nests,ground,0.05
2,Acuna Island,ACUN,48.2,-44.637,-60.7612,adelie penguin,,,1994,1994,1920.0,1.0,nests,,0.05
3,Acuna Island,ACUN,48.2,-44.637,-60.7612,adelie penguin,,,2004,2004,1880.0,1.0,nests,ground,0.05
4,Acuna Island,ACUN,48.2,-44.637,-60.7612,adelie penguin,25.0,2.0,2011,2010,3079.0,5.0,nests,vhr,0.9
5,Adams Island,ADAM,58.4.1,92.5486,-66.5459,adelie penguin,12.0,11.0,2009,2009,76.0,5.0,nests,vhr,0.9
6,Adams Island,ADAM,58.4.1,92.5486,-66.5459,adelie penguin,21.0,1.0,2011,2010,425.0,1.0,adults,aerial photo,0.05
7,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,,1982,1982,220900.0,2.0,chicks,,0.1
8,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,1983,1983,256806.0,2.0,nests,aerial,0.1
9,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,1986,1986,282307.0,2.0,nests,aerial,0.1
10,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,1988,1988,272338.0,2.0,nests,aerial,0.1
11,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,1990,1990,169200.0,2.0,nests,aerial,0.1
12,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,1992,1992,297443.0,2.0,nests,aerial,0.1
13,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,1998,1998,338777.0,2.0,nests,aerial,0.1
14,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,16.0,2.0,2011,2010,338231.0,5.0,nests,vhr,0.9
15,Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,,12.0,2013,2013,428516.0,2.0,nests,aerial,0.1
16,Ailsa Craig,AILS,48.2,-44.631,-60.78,chinstrap penguin,28.0,12.0,1983,1983,6000.0,4.0,nests,ground,0.5
17,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,25.0,11.0,1997,1997,4608.0,1.0,nests,ground,0.05
18,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,13.0,12.0,1999,1999,1177.0,1.0,nests,ground,0.05
19,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,11.0,1.0,2002,2001,1236.0,1.0,chicks,ground,0.05
20,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,20.0,12.0,2003,2003,1486.0,1.0,nests,ground,0.05
21,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,22.0,1.0,2006,2005,2483.0,1.0,chicks,ground,0.05
22,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,18.0,11.0,2005,2005,1998.0,1.0,nests,ground,0.05
23,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,20.0,12.0,2006,2006,1639.0,1.0,nests,ground,0.05
24,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,3.0,12.0,2007,2007,1383.0,1.0,nests,ground,0.05
25,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,25.0,1.0,2009,2008,8307.0,1.0,chicks,ground,0.05
26,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,26.0,11.0,2008,2008,5620.0,1.0,nests,ground,0.05
27,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,4.0,11.0,2008,2008,2210.0,1.0,nests,ground,0.05
28,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,29.0,12.0,2008,2008,2742.0,1.0,chicks,ground,0.05
29,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,22.0,1.0,2010,2009,4870.0,1.0,chicks,ground,0.05
30,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,10.0,12.0,2009,2009,1900.0,1.0,nests,ground,0.05
31,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,21.0,12.0,2010,2010,1319.0,1.0,nests,ground,0.05
32,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,chinstrap penguin,17.0,11.0,2011,2011,4047.0,1.0,nests,ground,0.05
