site_id,common_name,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ACUN,adelie penguin,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,2008.0,1920.0,1916.0,1912.0,1908.0,1904.0,1900.0,1896.0,1892.0,1888.0,1884.0,1880.0,2079.83333333,2279.66666667,2479.5,2679.33333333,2879.16666667,3079.0,3079.0,3079.0,3079.0
ACUN,chinstrap penguin,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ADAM,adelie penguin,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,425.0,425.0,425.0,425.0
ADAR,adelie penguin,220900.0,220900.0,220900.0,220900.0,220900.0,220900.0,220900.0,220900.0,220900.0,256806.0,265306.333333,273806.666667,282307.0,277322.5,272338.0,220769.0,169200.0,233321.5,297443.0,304332.0,311221.0,318110.0,324999.0,331888.0,338777.0,338731.5,338686.0,338640.5,338595.0,338549.5,338504.0,338458.5,338413.0,338367.5,338322.0,338276.5,338231.0,368326.0,398421.0,428516.0
AILS,chinstrap penguin,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
AITC,chinstrap penguin,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4608.0,4822.13636364,5036.27272727,5250.40909091,5464.54545455,5678.68181818,5892.81818182,6106.95454545,6321.09090909,6535.22727273,6749.36363636,6963.5,4870.0,4458.5,4047.0,4047.0,4047.0
AITC,gentoo penguin,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1206.5,1236.0,1361.0,1486.0,1863.25,2240.5,1639.0,1383.0,2476.0,1900.0,1319.0,2213.0,2255.0,2297.0
AITK,chinstrap penguin,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
AKAR,adelie penguin,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,203.0,195.0,187.0,183.884615385,180.769230769,177.653846154,174.538461538,171.423076923,168.307692308,165.192307692,162.076923077,158.961538462,155.846153846,152.730769231,149.615384615,146.5,143.384615385,140.269230769,137.153846154,134.038461538,130.923076923,127.807692308,124.692307692,121.576923077,118.461538462,115.346153846,112.230769231,109.115384615,106.0,106.0,106.0,106.0
ALAS,adelie penguin,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0
ALCO,chinstrap penguin,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2700.625,2401.25,2101.875,1802.5,1503.125,1203.75,904.375,605.0,639.846153846,674.692307692,709.538461538,744.384615385,779.230769231,814.076923077,848.923076923,883.769230769,918.615384615,953.461538462,988.307692308,1023.15384615,1058.0,1058.0,1058.0,1058.0
ALMI,gentoo penguin,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,9.0,7.0,20.625,34.25,47.875,61.5,75.125,88.75,102.375,116.0,128.0,123.0,162.6,196.5,185.75,175.0,173.0,160.0
AMBU,adelie penguin,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0,17621.0
AMPH,adelie penguin,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5098.51851852,5197.03703704,5295.55555556,5394.07407407,5492.59259259,5591.11111111,5689.62962963,5788.14814815,5886.66666667,5985.18518519,6083.7037037,6182.22222222,6280.74074074,6379.25925926,6477.77777778,6576.2962963,6674.81481481,6773.33333333,6871.85185185,6970.37037037,7068.88888889,7167.40740741,7265.92592593,7364.44444444,7462.96296296,7561.48148148,7660.0,7660.0,7660.0,7660.0
AMPH,chinstrap penguin,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ANCH,adelie penguin,250.0,250.0,250.0,288.323529412,326.647058824,364.970588235,403.294117647,441.617647059,479.941176471,518.264705882,556.588235294,594.911764706,633.235294118,671.558823529,709.882352941,748.205882353,786.529411765,824.852941176,863.176470588,901.5,939.823529412,978.147058824,1016.47058824,1054.79411765,1093.11764706,1131.44117647,1169.76470588,1208.08823529,1246.41176471,1284.73529412,1323.05882353,1361.38235294,1399.70588235,1438.02941176,1476.35294118,1514.67647059,1553.0,1553.0,1553.0,1553.0
ANDE,chinstrap penguin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ANDI,adelie penguin,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,295.5,272.0,307.833333333,343.666666667,379.5,379.5
ANDR,adelie penguin,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2161.29166667,2122.58333333,2083.875,2045.16666667,2006.45833333,1967.75,1929.04166667,1890.33333333,1851.625,1812.91666667,1774.20833333,1735.5,1696.79166667,1658.08333333,1619.375,1580.66666667,1541.95833333,1503.25,1464.54166667,1425.83333333,1387.125,1348.41666667,1309.70833333,1271.0,309.0,1139.0,1127.33333333,1115.66666667,1104.0,1104.0
ANDS,adelie penguin,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ANNE,adelie penguin,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,470.0,383.0,370.666666667,358.333333333,346.0,357.5,369.0,299.333333333,229.666666667,160.0,165.5,171.0,196.5,222.0,247.5,273.0,239.5,206.0,172.5,139.0,193.714285714,248.428571429,303.142857143,357.857142857,412.571428571,467.285714286,522.0
ANVS,chinstrap penguin,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ARDL,adelie penguin,960.0,960.0,960.0,960.0,960.0,960.0,960.0,1314.0,1194.0,1074.0,1331.0,929.0,1160.0,1151.875,1143.75,1135.625,1127.5,1119.375,1111.25,1103.125,1095.0,1226.0,923.0,1173.0,1192.0,974.0,880.0,780.0,771.0,559.0,409.0,334.0,310.0,286.0,262.0,238.0,214.0,190.0,166.0,166.0
ARDL,chinstrap penguin,227.0,227.0,227.0,227.0,227.0,227.0,227.0,141.0,116.0,91.0,110.0,39.0,39.6666666667,40.3333333333,41.0,41.6666666667,42.3333333333,43.0,43.6666666667,44.3333333333,45.0,49.0,72.0,33.0,43.0,34.0,26.0,22.0,35.0,29.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
ARDL,gentoo penguin,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,2580.0,2118.0,1656.0,3105.0,3522.0,3410.0,3455.25,3500.5,3545.75,3591.0,3636.25,3681.5,3726.75,3772.0,2985.0,2974.0,3146.0,3349.0,3911.0,4472.0,4444.0,5131.0,4957.0,4798.0,4635.0,4635.0,4635.0,4635.0,4635.0,4635.0,4635.0,4635.0,4635.0
ARMS,adelie penguin,9626.0,9626.0,9626.0,9626.0,9626.0,9626.0,9626.0,9626.0,9626.0,9626.0,9391.06896552,9156.13793103,8921.20689655,8686.27586207,8451.34482759,8216.4137931,7981.48275862,7746.55172414,7511.62068966,7276.68965517,7041.75862069,6806.82758621,6571.89655172,6336.96551724,6102.03448276,5867.10344828,5632.17241379,5397.24137931,5162.31034483,4927.37931034,4692.44827586,4457.51724138,4222.5862069,3987.65517241,3752.72413793,3517.79310345,3282.86206897,3047.93103448,2813.0,2813.0
ARMS,chinstrap penguin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83333333333,2.66666666667,3.5,4.33333333333,5.16666666667,6.0,5.78260869565,5.5652173913,5.34782608696,5.13043478261,4.91304347826,4.69565217391,4.47826086957,4.26086956522,4.04347826087,3.82608695652,3.60869565217,3.39130434783,3.17391304348,2.95652173913,2.73913043478,2.52173913043,2.30434782609,2.08695652174,1.86956521739,1.65217391304,1.4347826087,1.21739130435,1.0,1.0
ARTH,adelie penguin,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0,14461.0
ASPL,chinstrap penguin,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0
ASTR,chinstrap penguin,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0
AUST,adelie penguin,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0,2082.0
