total_SBA,540,7a,ESTAB,GEO_ID,mean_agi,ZIPCODE,SBA_per_Small,540_per_Small,7a_per_Small,tot_ratio_buckets,tot_ratio_buckets_rank,_540_ratio_buckets,_540_ratio_buckets_rank,_7a_ratio_buckets,_7a_ratio_buckets_rank,mean_agi_buckets,mean_agi_buckets_rank
1,,1.0,,,,5,,,,,,,,,,,
3,2.0,1.0,,,,9,,,,,,,,,,,
1,,1.0,,,,1188,,,,,,,,,,,
1,,1.0,569.0,8610000US01890,139360.0,1890,0.00175746924429,,0.00175746924429,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(113143.25, 1015625]",8.0
1,,1.0,,,,2947,,,,,,,,,,,
1,1.0,,685.0,8610000US04005,33814.0,4005,0.0014598540146,0.0014598540146,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(31958.75, 36760]",2.0
1,1.0,,48.0,8610000US04030,33945.0,4030,0.0208333333333,0.0208333333333,,"(0.0192, 0.111]",3.0,"(0.0202, 0.0273]",4.0,,,"(31958.75, 36760]",2.0
1,,1.0,512.0,8610000US04062,41867.0,4062,0.001953125,,0.001953125,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(36760, 43085]",3.0
1,1.0,,13.0,8610000US04063,,4063,0.0769230769231,0.0769230769231,,"(0.0192, 0.111]",3.0,"(0.0535, 0.1]",7.0,,,,
1,1.0,,468.0,8610000US04105,91705.0,4105,0.00213675213675,0.00213675213675,,"(0.00178, 0.0192]",2.0,"[0.000264, 0.00659]",1.0,,,"(72552, 113143.25]",7.0
1,1.0,,41.0,8610000US04110,145447.0,4110,0.0243902439024,0.0243902439024,,"(0.0192, 0.111]",3.0,"(0.0202, 0.0273]",4.0,,,"(113143.25, 1015625]",8.0
2,,2.0,,,,4111,,,,,,,,,,,
1,,1.0,52.0,8610000US04402,,4402,0.0192307692308,,0.0192307692308,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,,
1,,1.0,,,,4501,,,,,,,,,,,
1,,1.0,,,,4509,,,,,,,,,,,
1,,1.0,42.0,8610000US04544,58694.0,4544,0.0238095238095,,0.0238095238095,"(0.0192, 0.111]",3.0,,,"(0.0019, 0.0323]",2.0,"(58591, 72552]",6.0
1,,1.0,14.0,8610000US04558,38352.0,4558,0.0714285714286,,0.0714285714286,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,"(36760, 43085]",3.0
1,,1.0,,,,4583,,,,,,,,,,,
2,,2.0,,,,4601,,,,,,,,,,,
